SKU,Nombre,Categoria,Peso,Unidad,Lista_USD
VEL5004,VEL. 14 DIAS SANTA MUERTE,VELAS,8.2,lbs,35.00
VEL5103,VEL. 14 DIAS VIRGEN DE G.,VELAS,7.5,lbs,32.86
VEL7367,VEL. ORO BRILUX SAN,VELAS,2.1,lbs,10.71
